rank,word,occurrence ppm,english
1,que,32894,that
3,no,29897,No
4,a,22313,to
5,la,21127,the
6,el,18112,he
7,es,16620,is
9,en,15303,in
10,lo,14010,it
11,un,13410,a
12,por,10261,by
13,qué,9903,that
14,me,9692,I
16,te,8094,tea
17,los,7589,the
18,se,7426,HE
19,con,6799,with
20,para,6455,for
21,mi,5987,my
22,está,5909,this
23,si,5880,Yeah
24,bien,5293,good
25,pero,5012,but
26,yo,4800,I
27,eso,4788,that
28,las,4748,the
29,sí,4704,Yeah
30,su,4549,his
32,aquí,3952,here
33,del,3911,of the
34,al,3887,to the
35,como,3760,as
37,más,3395,further
39,ya,2944,already
40,todo,2929,all
41,esta,2927,this
42,vamos,2830,come on
43,muy,2618,very
44,hay,2584,there is
45,ahora,2523,now
46,algo,2469,something
48,tengo,2349,I have
49,nos,2247,us
51,nada,2122,nothing
52,cuando,2098,when
53,ha,2079,ha
54,este,2069,this
55,sé,2066,HE
56,estás,2045,are
57,así,2044,So
58,puedo,1972,I can
59,cómo,1969,as
60,quiero,1940,wanna
63,tiene,1908,has
64,gracias,1886,thank you
65,o,1850,either
66,él,1836,he
67,bueno,1824,Well
68,fue,1811,was
69,ser,1782,be
70,hacer,1749,do
71,son,1703,are
72,todos,1687,all
73,era,1677,was
74,eres,1677,are
75,vez,1652,time
76,tienes,1636,have
77,creo,1584,believe
78,ella,1570,she
79,he,1570,He
80,ese,1508,that
81,voy,1478,go
83,sabes,1422,You know
84,hola,1393,hello
85,sus,1384,their
86,porque,1362,because
87,dios,1356,God
88,quién,1351,who
89,nunca,1342,never
92,casa,1330,home
94,esa,1306,that
95,dos,1301,two
96,tan,1291,so
97,señor,1289,Sir
98,tiempo,1288,time
99,verdad,1269,TRUE
